key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
SPEED;float32;speed;;;;;;;;%4.1f;;;;;;;;;
SPEED_DRIFT;float32;speed drift;;;;;;;;%4.1f;;;;;;;;;
SSAL;float32;salinity (pre-1978 defn);;P.S.U.;;;;0;40;%6.3f;99.999;;;;;;;;
SSJT;float32;sea surface water jacket temperature;sea_water_temperature;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%6.3f;-300;;0.001;Ocean temperature;;;;;
SSPS;float32;sea surface practical salinity;sea_water_salinity ;pss;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%6.3f;-1;;0.001;Ocean salinity;;;;;
SSTM;float32;model sea surface temperature;;Celsius degree;;;;-1.5;38;%6.3f;99.999;;;;;;;;
SSTP;float32;sea surface water temperature;sea_water_temperature;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%6.3f;-300;;0.001;Sea surface Ocean temperature;;;;;
SVEL;float32;sound velocity;speed_of_sound_in_sea_water;meter/second;;TIME DEPTH LATITUDE LONGITUDE;;1350;1600;%7.2f;1E+36;;0.001;Ocean sound velocity;;;;;
SWDR;float32;swell direction  rel true n.;;degree;;;;0;360;%5.1f;999.9;;;;;;;;
SWHT;float32;swell height;;meters;;;;0;30;%5.2f;99.99;;;;;;;;
TACC;float32;temperature accuracy;;.;;;;0;4;%2d;-9;;;;;;;;
TCCF;float32;part. total carbon flux;;milligram/(m2.day);;;;0;999;%7.3f;999.999;;;;;;;;
TCCS;float32;sediment total carbon;;%;;;;0;100;%6.2f;999.99;;;;;;;;
TCO2;float32;total carbon dioxyd (co2);;mole/m3;;;;0;5000;%8.3f;9999.999;;;;;;;;
TDCW;float32;total dissolved carbon;;millimole/m3;;;;0;9999;%4.0f;9999;;;;;;;;
TDPW;float32;total dissolved phosphorus;;millimole/m3;;;;0;40;%6.3f;99.999;;;;;;;;
TE01;float32;sea temperature primary sensor;;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-2;32;%6.3f;1E+36;;0.001;;;;;;
TE02;float32;sea temperature secondary sensor;;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-2;32;%6.3f;1E+36;;0.001;;;;;;
TE03;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE04;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE05;float32;sea temperature;;Celcius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE07;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE08;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE09;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE10;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE11;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE12;float32;sea temperature;;Celsius degree;;;;-2;32;%6.3f;99.999;;;;;;;;
TE35;float32;sea temperature sbe35 high precision sensor;;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-2;32;%6.3f;1E+36;;0.001;;;;;;
TEMP;float32;sea water temperature;sea_water_temperature;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%7.4f;1E+36;;0.001;Ocean temperature in Degrees Celsius;;;;;
TH4P;float32;particulate 234th activty;;Bq/m3;;;;0;99;%6.3f;99.999;;;;;;;;
TH4W;float32;dissolved 234th;;Bq/m3;;;;0;90;%6.3f;99.999;;;;;;;;
TICW;float32;total inorganic carbon;;micromole/kg;;;;0;9000;%7.2f;9999.99;;;;;;;;
TINW;float32;dissolved inorganic nitrogen;;millimole/m3;;;;0;100;%6.3f;99.999;;;;;;;;
TNNF;float32;part. total nitrogen flux;;milligram/(m2.day);;;;0;99;%6.3f;99.999;;;;;;;;
TNNS;float32;sediment total nitrogen;;%;;;;0;100;%6.2f;999.99;;;;;;;;
TOCS;float32;sediment total organic carbon;;%;;;;0;100;%6.2f;999.99;;;;;;;;
TOCW;float32;total organic carbon;;millimole/m3;;;;0;999.999;%7.3f;999.999;;;;;;;;
TOMP;float32;organic matter content;;%;;;;0;99.99;%5.2f;99.99;;;;;;;;
TPAW;float32;diss. triphosphate adenosine;;milligram/m3;;;;0;1;%6.3f;99.999;;;;;;;;
TPHP;float32;total phaeopigments;;milligram/m3;;;;0;100;%6.3f;99.999;;;;;;;;
TPHS;float32;total phosphorus (p) content;;millimole/m3;;;;0;10;%5.2f;99.99;;;;;;;;
TREW;float32;dissolved tritium error;;TU;;;;0;5;%6.3f;99.999;;;;;;;;
TRIW;float32;dissolved tritium;;TU;;;;0;2;%6.3f;99.999;;;;;;;;
